Gmt time,Open,High,Low,Close,Volume,Open_Bid,High_Bid,Low_Bid,Close_Bid,Volume_Bid,Spread,day_name,weekday,Pct_Range_Close,Pct_Range_Close_diff,MA_Close_5,MA_Close_25,MA_Close_50,MA_Close_200,EMA_Close_5,Momentum_1,Momentum_2,Momentum_5,Momentum_24,rsi,Rolling_Mean25,Bollinger_High,Bollinger_Low,PP,R1,S1,R2,S2,R3,S3,SO%k,SO%k1,SO%d2,Trix_5,MACD_5_25,MACDsign_5_25,MACDdiff_5_25,Mass_Index_25_8_9,Class
2004-01-01,1.2595,1.26052,1.24698,1.2573299999999998,462181.6875,1.25934,1.26035,1.24679,1.2572299999999998,559789.625,9.9999999999989e-05,Thursday,3,0.0,0.0,0.0,0.0,0.0,0.0,1.2573299999999998,0.0,0.0,0.0,0.0,0.0,1.2608620000000001,1.2816928914235566,1.2400311085764433,1.2549433333333333,1.2629066666666666,1.2493666666666663,1.2684833333333334,1.2414033333333332,1.2764466666666667,1.2358266666666664,0.7644017725258329,0.7644017725258329,0.7644017725258329,0.0,0.0,0.0,0.0,24.73080332937891,1.0
2004-01-02,1.2571700000000001,1.26282,1.25214,1.25832,1066578.0,1.25701,1.26263,1.2519799999999999,1.25806,1277971.375,0.000260000000000149,Friday,4,0.0007873827873352558,0.0007873827873352558,0.0,0.0,0.0,0.0,1.2580725,0.0009900000000002684,0.0,0.0,0.0,0.0,1.2608620000000001,1.2816928914235566,1.2400311085764433,1.2577600000000002,1.2633800000000004,1.2527000000000004,1.2684400000000002,1.2470800000000002,1.2740600000000004,1.2420200000000003,0.5786516853932642,0.5786516853932642,0.6250892071764064,0.0,0.0,0.0,0.0,24.73080332937891,2.0
2004-01-04,1.25925,1.2648700000000002,1.25789,1.26318,68799.7969,1.25855,1.2647700000000002,1.25779,1.26308,83720.3984,9.9999999999989e-05,Sunday,6,0.00386229258058357,0.003074909793248315,0.0,0.0,0.0,0.0,1.2616084615384613,0.004859999999999864,0.005850000000000133,0.0,0.0,0.0,1.2608620000000001,1.2816928914235566,1.2400311085764433,1.2619799999999999,1.2660700000000005,1.25909,1.2689600000000003,1.255,1.2730500000000005,1.2521099999999998,0.7578796561604383,0.7578796561604383,0.7170210564730437,0.0,0.0,0.0,0.0,24.73080332937891,2.0
2004-01-05,1.26324,1.26935,1.26301,1.2683,1119689.0,1.26308,1.26924,1.26288,1.2682,1353480.5,9.9999999999989e-05,Monday,0,0.004053262401241264,0.00019096982065769366,0.0,0.0,0.0,0.0,1.2661252499999998,0.005120000000000013,0.009979999999999878,0.0,0.0,0.0,1.2608620000000001,1.2816928914235566,1.2400311085764433,1.2668866666666665,1.270763333333333,1.264423333333333,1.2732266666666665,1.2605466666666665,1.277103333333333,1.258083333333333,0.8343848580441651,0.8343848580441651,0.7962416225335506,0.0,0.0,0.0,0.0,24.73080332937891,1.0
2004-01-06,1.26836,1.28093,1.2666600000000001,1.2715,1125442.25,1.2682,1.28083,1.2665,1.2714,1354807.375,9.9999999999989e-05,Tuesday,1,0.002523062366947881,-0.001530200034293383,1.2637260000000001,0.0,0.0,0.0,1.2697232231404958,0.003200000000000092,0.008320000000000105,0.0,0.0,0.0,1.2608620000000001,1.2816928914235566,1.2400311085764433,1.27303,1.2794,1.26513,1.2873,1.25876,1.29367,1.25086,0.3391730903994517,0.3391730903994517,0.4902701258156827,0.0,0.0,0.0,0.0,24.73080332937891,-2.0
2004-01-07,1.2716100000000001,1.27417,1.2618,1.26377,1111342.75,1.27145,1.27404,1.26168,1.26367,1345833.0,9.9999999999989e-05,Wednesday,2,-0.006079433739677564,-0.008602496106625446,1.2650140000000003,0.0,0.0,0.0,1.2657489560439559,-0.0077300000000000155,-0.004529999999999923,0.0064400000000002225,0.0,0.0,1.2608620000000001,1.2816928914235566,1.2400311085764433,1.2665799999999998,1.27136,1.25899,1.27895,1.25421,1.28373,1.24662,0.15925626515764174,0.15925626515764174,0.2692910924642983,0.0,0.0,0.0,0.0,24.73080332937891,2.0
2004-01-08,1.26369,1.27854,1.2559,1.27696,1115932.875,1.2635299999999998,1.27839,1.25576,1.27686,1348587.5,9.9999999999989e-05,Thursday,3,0.010437025724617577,0.01651645946429514,1.268742,0.0,0.0,0.0,1.2732264043915829,0.013190000000000037,0.00546000000000002,0.01863999999999999,0.0,0.0,1.2608620000000001,1.2816928914235566,1.2400311085764433,1.2704666666666666,1.2850333333333332,1.2623933333333333,1.2931066666666666,1.2478266666666666,1.3076733333333332,1.2397533333333333,0.9302120141342792,0.9302120141342792,0.7101066019770303,0.0,0.0,0.0,0.0,24.73080332937891,2.0
2004-01-09,1.27698,1.2867600000000001,1.27034,1.28149,1066697.5,1.27682,1.28665,1.27021,1.2812299999999999,1274567.875,0.000260000000000149,Friday,4,0.003547487783485792,-0.006889537941131785,1.272404,0.0,0.0,0.0,1.2787363079268297,0.004529999999999923,0.017719999999999958,0.01831000000000005,0.0,0.0,1.2608620000000001,1.2816928914235566,1.2400311085764433,1.2795299999999998,1.28872,1.2723000000000002,1.29595,1.2631100000000002,1.30514,1.2558800000000003,0.6790499390986647,0.6790499390986647,0.6893990038931933,0.0,0.0,0.0,0.0,24.73080332937891,1.0
2004-01-11,1.2827899999999999,1.28572,1.28253,1.28477,75674.2031,1.28209,1.28559,1.28209,1.28467,87809.5,9.9999999999989e-05,Sunday,6,0.002559520558100381,-0.000987967225385411,1.275698,0.0,0.0,0.0,1.2827589736815364,0.0032799999999999496,0.0078099999999998735,0.016469999999999985,0.0,0.0,1.2608620000000001,1.2816928914235566,1.2400311085764433,1.28434,1.28615,1.28296,1.2875299999999998,1.28115,1.2893400000000002,1.27977,0.7021943573667716,0.7021943573667716,0.6979296729451341,0.0,0.0,0.0,0.0,24.73080332937891,-2.0
2004-01-12,1.28498,1.2897100000000001,1.2732700000000001,1.2739,1110720.5,1.28482,1.28956,1.27306,1.2738,1341146.625,9.9999999999989e-05,Monday,0,-0.008460658327949733,-0.011020178886050114,1.2761780000000005,0.0,0.0,0.0,1.2768528912071535,-0.010869999999999935,-0.007589999999999986,0.0023999999999999573,0.0,0.0,1.2608620000000001,1.2816928914235566,1.2400311085764433,1.27896,1.2846499999999998,1.2682099999999998,1.2954,1.26252,1.30109,1.2517699999999998,0.03832116788321959,0.03832116788321959,0.2581832224257714,0.0,0.0,0.0,0.0,24.73080332937891,2.0
