Gmt time,Open,High,Low,Close,Volume
01.01.2004 00:00:00.000,1.25934,1.25953,1.25814,1.25854,23473.5999
01.01.2004 04:00:00.000,1.25898,1.25948,1.24679,1.25900,48684.6006
01.01.2004 08:00:00.000,1.25884,1.25938,1.25709,1.25775,27086.9995
01.01.2004 12:00:00.000,1.25775,1.26035,1.25710,1.25897,32530.2993
01.01.2004 16:00:00.000,1.25890,1.25958,1.25357,1.25451,288977.2969
01.01.2004 20:00:00.000,1.25465,1.25905,1.25281,1.25723,139036.8028
02.01.2004 00:00:00.000,1.25701,1.25921,1.25198,1.25610,125805.6016
02.01.2004 04:00:00.000,1.25605,1.25749,1.25493,1.25723,124937.8984
02.01.2004 08:00:00.000,1.25738,1.26263,1.25727,1.25989,122896
02.01.2004 12:00:00.000,1.25974,1.26149,1.25611,1.25836,129628
02.01.2004 16:00:00.000,1.25828,1.26081,1.25798,1.25865,680713.0157
02.01.2004 20:00:00.000,1.25865,1.25931,1.25748,1.25806,93990.9004
04.01.2004 20:00:00.000,1.25816,1.26477,1.25785,1.26308,61895.597599999994
05.01.2004 00:00:00.000,1.26308,1.26668,1.26288,1.26585,129460.3028
05.01.2004 04:00:00.000,1.26581,1.26924,1.26492,1.26837,126798.2988
05.01.2004 08:00:00.000,1.26789,1.26879,1.26315,1.26797,126291.6992
05.01.2004 12:00:00.000,1.26805,1.26823,1.26397,1.26707,129773.6992
05.01.2004 16:00:00.000,1.26688,1.26861,1.26576,1.26686,683663.0078
05.01.2004 20:00:00.000,1.26706,1.26880,1.26491,1.26820,157493.502
06.01.2004 00:00:00.000,1.26820,1.26879,1.26650,1.26759,127465.498
06.01.2004 04:00:00.000,1.26773,1.27220,1.26703,1.27084,125141.4004
06.01.2004 08:00:00.000,1.27066,1.27597,1.27055,1.27400,127421.09760000001
06.01.2004 12:00:00.000,1.27405,1.28083,1.27381,1.27446,127796.7988
06.01.2004 16:00:00.000,1.27439,1.27772,1.27437,1.27613,683316.9062999999
06.01.2004 20:00:00.000,1.27595,1.27619,1.27101,1.27140,163665.7012
07.01.2004 00:00:00.000,1.27145,1.27334,1.26858,1.27114,129005.1016
07.01.2004 04:00:00.000,1.27140,1.27404,1.27004,1.27035,128726.5996
07.01.2004 08:00:00.000,1.27043,1.27150,1.26477,1.26588,123872.2012
07.01.2004 12:00:00.000,1.26590,1.27000,1.26583,1.26924,126728.0996
07.01.2004 16:00:00.000,1.26876,1.26927,1.26318,1.26444,678724.5938
07.01.2004 20:00:00.000,1.26453,1.26548,1.26168,1.26367,158776.40039999998
08.01.2004 00:00:00.000,1.26353,1.26377,1.25788,1.25936,127874.3984
08.01.2004 04:00:00.000,1.25947,1.26119,1.25777,1.25925,124307.6992
08.01.2004 08:00:00.000,1.25931,1.26123,1.25576,1.25832,126746
08.01.2004 12:00:00.000,1.25828,1.27437,1.25813,1.27209,130214.79680000001
08.01.2004 16:00:00.000,1.27204,1.27786,1.27131,1.27584,681361.7032
