Model_Name,FRECUENCIA,LIMITE_IZQ,LIMITE_DER,PROFUNDIDAD,BALANCED,TEST_AT_SUFFLE,IDX_TEST_START,VAL_PCT,TEST_PCT,ACC_TEST,ACC_VAL,Duration,Exposure,Buy & Hold Return [%],_strategy,Pred_Equity_Final_$,Pred_Equity_Peak_$,Pred_Return_%,Pred_#_Trades,Pred_Win_Rate,Commission,Cash
XGBoost_4,4H,-0.0029,0.0029,6,True,True,0,0.25,0.2,0.7378255945639864,0.8366329152183769,5297.0,98.96167642061545,5.9264427838300255,limits_Pred,967.7442211345907,1027.7867272695503,-3.225577886540907,118.0,53.38983050847458,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,3159,0.25,0.2,0.787844469611174,0.8532567628834822,5297.0,99.01831225221822,12.07856762867403,limits_Pred,828.3067178551137,1036.1553874423028,-17.169328214488633,96.0,47.91666666666667,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,10162,0.25,0.2,0.7023405058512646,0.8231827111984283,5297.0,99.13158391542385,3.3029537718238746,limits_Pred,830.0324403839363,1129.9899204474248,-16.996755961606382,358.0,44.6927374301676,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,9567,0.25,0.2,0.7087580218950548,0.8147196614780112,5297.0,97.67793090428543,13.249770223648975,limits_Pred,1069.6405862225297,1235.199814470157,6.96405862225297,325.0,48.30769230769231,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,4523,0.25,0.2,0.7791619479048698,0.8654979598005138,5297.0,94.37417406078913,12.517578624392742,limits_Pred,928.0389694154327,1015.1952063784096,-7.196103058456719,56.0,55.35714285714286,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,2151,0.25,0.2,0.8338995847489619,0.8809128003627021,5297.0,86.46403624693222,17.56790411705191,limits_Pred,1167.2461691561996,1167.2461691561996,16.724616915619958,119.0,52.941176470588246,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,2644,0.25,0.2,0.7925632314080785,0.8848420734471815,5297.0,99.50915612610912,6.160267386722863,limits_Pred,916.0425757163594,1027.5067786114475,-8.395742428364063,143.0,52.447552447552454,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,7917,0.25,0.2,0.6874292185730464,0.8080701224119692,5297.0,99.30149141023222,4.669408415058523,limits_Pred,961.1415934740953,1097.5023788208184,-3.8858406525904914,278.0,51.43884892086332,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,2339,0.25,0.2,0.8157795394488486,0.8875623394287442,5297.0,99.58467056824621,19.73611283451214,limits_Pred,1150.3984289287241,1173.873348498748,15.039842892872384,99.0,58.5858585858586,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,6667,0.25,0.2,0.7114005285013213,0.8692761069971287,5297.0,99.71682084198605,3.606772793845899,limits_Pred,1091.515192130432,1315.9166816395755,9.151519213043207,108.0,45.37037037037037,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,11908,0.25,0.2,0.7510381275953192,0.8787970379325979,5297.0,94.6007173872003,7.312516680010687,limits_Pred,999.6726432160001,1032.9594393551927,-0.03273567840000169,365.0,45.47945205479452,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,4775,0.25,0.2,0.7765194412986033,0.8579416654072842,5297.0,98.24428922031342,0.8546298115431646,limits_Pred,1224.3864628155345,1356.4200972151339,22.43864628155345,90.0,52.22222222222222,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,8063,0.25,0.2,0.6757266893167233,0.8493274897990025,5297.0,99.52803473664338,6.240102717740195,limits_Pred,1095.7385160159906,1338.853872178826,9.573851601599063,328.0,51.52439024390244,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,3617,0.25,0.2,0.8044545111362779,0.8354239081154602,5297.0,99.13158391542385,15.740449419596288,limits_Pred,1190.7850691214007,1349.9679124297638,19.078506912140075,49.0,55.10204081632652,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,2457,0.25,0.2,0.8155907889769725,0.8593017983980656,5297.0,98.9805550311497,13.07805349120376,limits_Pred,1125.082289653416,1129.8687520512767,12.508228965341596,89.0,49.43820224719101,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,1235,0.25,0.2,0.8499433748584372,0.8801571709233792,5297.0,96.22427789314709,20.928888346155407,limits_Pred,1108.3015713721145,1125.3139835377085,10.830157137211426,92.0,55.43478260869566,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,6212,0.25,0.2,0.7234805587013967,0.8804594226991084,5297.0,80.29073060222768,6.791778989678915,limits_Pred,1004.9550826267392,1153.076535863434,0.4955082626739341,78.0,53.84615384615386,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,943,0.25,0.2,0.8286145715364288,0.8917938642889527,5297.0,81.06475363413253,21.71104458799434,limits_Pred,1183.986975264938,1187.7299148426787,18.39869752649379,156.0,53.20512820512821,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,11508,0.25,0.2,0.7385805964514911,0.8759256460631706,5297.0,94.03435907117235,0.5276811508755421,limits_Pred,821.9596919574803,1055.8958160969532,-17.804030804251976,363.0,42.14876033057851,0.0001,1000
