Model_Name,FRECUENCIA,LIMITE_IZQ,LIMITE_DER,PROFUNDIDAD,BALANCED,VAL_PCT,TEST_PCT,ACC_TEST,ACC_VAL,Duration,Exposure,Buy & Hold Return [%],_strategy,Pred_Equity_Final_$,Pred_Equity_Peak_$,Pred_Return_%,Pred_#_Trades,Pred_Win_Rate,Commission,Cash
XGBoost,4H,-0.002,0.0025,1,True,0.2,0.2,0.7157954331005849,0.7336730841827105,5298.0,98.77312193280486,4.5838586455412615,limits_Pred,1087.9112385020321,1172.7832010801014,8.791123850203189,72.0,45.83333333333333,0.0001,1000
XGBoost,4H,-0.0029,0.0029,1,True,0.2,0.2,0.8848839403661068,0.8610796526991318,5298.0,65.15666289165722,4.5838586455412615,limits_Pred,1043.5965827934438,1185.1195337748434,4.3596582793443766,2.0,50.0,0.0001,1000
XGBoost,4H,-0.0029,0.0029,1,True,0.2,0.15,0.9129340714645192,0.8578708946772367,3973.0,0.0,5.6463797640268165,limits_Pred,1000.0,1000.0,0.0,0.0,,0.0001,1000
XGBoost,4H,-0.0029,0.0029,1,True,0.25,0.2,0.9114927344782034,0.8484070662841613,5298.0,61.155152887882224,4.5838586455412615,limits_Pred,1061.6265788593441,1141.9902475100162,6.162657885934414,10.0,50.0,0.0001,1000
XGBoost,4H,-0.0029,0.0029,1,True,0.25,0.15,0.8764469048817313,0.8709044239770497,3973.0,55.247923483513716,5.6463797640268165,limits_Pred,935.7697674630356,1062.6702394596543,-6.423023253696441,2.0,0.0,0.0001,1000
XGBoost,4H,-0.0029,0.0029,2,True,0.2,0.2,0.9082845819966032,0.8595696489241224,5298.0,0.0,4.5838586455412615,limits_Pred,990.6934184691183,1117.5982169144104,-0.9306581530881658,0.0,,0.0001,1000
XGBoost,4H,-0.0029,0.0029,2,True,0.2,0.15,0.9129340714645192,0.8578708946772367,3973.0,0.0,5.6463797640268165,limits_Pred,1000.0,1000.0,0.0,0.0,,0.0001,1000
XGBoost,4H,-0.0029,0.0029,2,True,0.25,0.2,0.8788450651066239,0.817907292767628,5298.0,95.31898829747074,4.5838586455412615,limits_Pred,1192.3666091117666,1261.8776581784455,19.236660911176635,45.0,64.44444444444444,0.0001,1000
XGBoost,4H,-0.0029,0.0029,2,True,0.25,0.15,0.9051333668847508,0.871206401932659,3973.0,0.0,5.6463797640268165,limits_Pred,942.5857621163092,1063.3281168435817,-5.741423788369072,0.0,,0.0001,1000
XGBoost,4H,-0.0029,0.0029,3,True,0.2,0.2,0.9058312889224382,0.8629671574178935,5298.0,74.97168742921858,4.5838586455412615,limits_Pred,1080.1734030191137,1185.727077687509,8.01734030191135,8.0,62.5,0.0001,1000
XGBoost,4H,-0.0029,0.0029,3,True,0.2,0.15,0.9129340714645192,0.8576821442053605,3973.0,0.0,5.6463797640268165,limits_Pred,1000.0,1000.0,0.0,0.0,,0.0001,1000
XGBoost,4H,-0.0029,0.0029,3,True,0.25,0.2,0.8411020947348556,0.7990336705420504,5298.0,98.03699509248771,4.5838586455412615,limits_Pred,1285.9985914259241,1338.7203416295147,28.59985914259241,120.0,44.16666666666666,0.0001,1000
XGBoost,4H,-0.0029,0.0029,3,True,0.25,0.15,0.9018621036738802,0.873924203533142,3973.0,67.48049332997735,5.6463797640268165,limits_Pred,967.1694354583967,1061.6804534618511,-3.2830564541603167,6.0,66.66666666666666,0.0001,1000
XGBoost,4H,-0.0029,0.0029,4,True,0.2,0.2,0.9039441404038496,0.8546621366553416,5298.0,0.0,4.5838586455412615,limits_Pred,1045.2029839333163,1179.0902910837374,4.520298393331632,0.0,,0.0001,1000
XGBoost,4H,-0.0029,0.0029,4,True,0.2,0.15,0.9129340714645192,0.8578708946772367,3973.0,0.0,5.6463797640268165,limits_Pred,1000.0,1000.0,0.0,0.0,,0.0001,1000
XGBoost,4H,-0.0029,0.0029,4,True,0.25,0.2,0.8931873938478958,0.8558055261965877,5298.0,93.20498301245752,4.5838586455412615,limits_Pred,1010.592276318176,1128.3421535647765,1.0592276318176004,24.0,37.5,0.0001,1000
XGBoost,4H,-0.0029,0.0029,4,True,0.25,0.15,0.9001006542526422,0.8668277215763249,3973.0,0.0,5.6463797640268165,limits_Pred,942.0025876046178,1062.6702394596543,-5.799741239538219,0.0,,0.0001,1000
XGBoost,4H,-0.0029,0.0029,5,True,0.2,0.2,0.9092281562558974,0.8584371460928653,5298.0,0.0,4.5838586455412615,limits_Pred,1045.2029839333163,1179.0902910837374,4.520298393331632,0.0,,0.0001,1000
XGBoost,4H,-0.0029,0.0029,5,True,0.2,0.15,0.9129340714645192,0.8576821442053605,3973.0,0.0,5.6463797640268165,limits_Pred,1000.0,1000.0,0.0,0.0,,0.0001,1000
XGBoost,4H,-0.0029,0.0029,5,True,0.25,0.2,0.8854500849216833,0.8431224520609996,5298.0,94.12986032465082,4.5838586455412615,limits_Pred,1271.183245246794,1273.4246666115935,27.11832452467941,50.0,48.0,0.0001,1000
XGBoost,4H,-0.0029,0.0029,5,True,0.25,0.15,0.9058882737795672,0.8706024460214404,3973.0,0.0,5.6463797640268165,limits_Pred,947.0754896254953,1004.0152105377748,-5.292451037450474,0.0,,0.0001,1000
XGBoost,4H,-0.0029,0.0029,6,True,0.2,0.2,0.8743159086620117,0.8569271423178558,5298.0,73.40505851264628,4.5838586455412615,limits_Pred,1070.4137841920256,1188.546305154111,7.041378419202554,10.0,70.0,0.0001,1000
