Open,High,Low,Close,Volume,Real_Class,Predicted_Class
1.29603,1.3046200000000001,1.2949700000000002,1.30334,1104092.125,-2.0,2.0
1.3035700000000001,1.30732,1.29397,1.2946600000000001,1093489.0,2.0,2.0
1.29446,1.30672,1.29385,1.30205,1066076.125,0.0,0.0
1.30325,1.30498,1.30189,1.30213,78524.1016,1.0,-1.0
1.30209,1.3051700000000002,1.3013299999999999,1.30366,1103112.75,2.0,-1.0
1.3037299999999998,1.3101399999999999,1.29768,1.3098299999999998,1098441.125,2.0,2.0
1.3097299999999998,1.3188799999999998,1.30829,1.31734,1107508.125,2.0,-1.0
1.31759,1.3281399999999999,1.31618,1.32546,1091603.75,1.0,-2.0
1.3256700000000001,1.3328799999999998,1.3185799999999999,1.32952,1033533.375,-1.0,0.0
1.32915,1.32915,1.32645,1.32679,74134.2031,0.0,-1.0
1.3267200000000001,1.33038,1.32292,1.3261100000000001,1093966.625,1.0,-1.0
1.32612,1.33311,1.32312,1.3294700000000002,1109293.0,2.0,-1.0
1.32925,1.33559,1.32749,1.33446,1093986.75,-2.0,-1.0
1.33451,1.33816,1.3237299999999999,1.32576,1096508.375,2.0,2.0
1.3258,1.34604,1.32513,1.34505,1052331.5,0.0,0.0
1.34494,1.34535,1.34354,1.3446799999999999,74455.7969,-2.0,-1.0
1.34449,1.34555,1.3387200000000001,1.33942,1091137.75,1.0,-1.0
1.33928,1.34691,1.3390799999999998,1.34274,1097592.625,-2.0,-1.0
1.34284,1.34305,1.31944,1.33439,1097849.0,-1.0,-1.0
1.3344200000000002,1.33596,1.32513,1.33018,1105700.375,-2.0,-2.0
1.3299,1.33017,1.3140399999999999,1.3224,1034498.375,0.0,0.0
1.32123,1.32295,1.31883,1.32198,77102.2031,2.0,-1.0
1.32212,1.33259,1.32151,1.33158,1100081.625,-1.0,2.0
1.33166,1.33314,1.32589,1.33036,1094132.25,2.0,2.0
1.33043,1.3443,1.32608,1.3400299999999998,1099315.75,-2.0,-1.0
1.34002,1.3428,1.31931,1.32501,1098421.0,2.0,2.0
1.32486,1.3316,1.3227,1.33075,1043603.3125,0.0,0.0
1.33156,1.33398,1.32984,1.3309799999999998,77254.5,2.0,-1.0
1.33117,1.34083,1.32959,1.33885,1097958.25,-1.0,2.0
1.3389,1.34074,1.33379,1.33647,1111986.5,1.0,2.0
1.3365,1.3404,1.3342100000000001,1.33876,1104621.0,2.0,-1.0
1.3388799999999998,1.35159,1.33798,1.35079,1099028.875,1.0,-2.0
1.35061,1.35475,1.3483399999999999,1.3531600000000001,1045224.125,0.0,0.0
1.35335,1.35351,1.35189,1.35239,75925.1016,2.0,-1.0
1.35247,1.36384,1.3512,1.36204,1096334.875,-1.0,-1.0
1.3620299999999999,1.36429,1.35737,1.35912,1106347.625,1.0,-1.0
1.35915,1.36468,1.3556700000000002,1.36042,1113759.25,1.0,-1.0
1.3604399999999999,1.36653,1.3574,1.36222,1096392.0,-2.0,-2.0
1.36227,1.3659299999999999,1.3504200000000002,1.35537,873790.6875,1.0,0.0
1.35455,1.35781,1.3537700000000001,1.35771,75275.1016,-2.0,-1.0
1.35788,1.3579700000000001,1.33871,1.3463399999999999,1100146.0,-2.0,-1.0
1.34665,1.34941,1.3250899999999999,1.32788,1099909.0,0.0,2.0
1.3280399999999999,1.33016,1.3216,1.32741,1099588.875,-2.0,-1.0
1.3277299999999999,1.32781,1.31551,1.31792,1106109.875,-2.0,-2.0
1.31796,1.32489,1.30244,1.30515,1051054.375,1.0,0.0
1.30522,1.3074,1.3048600000000001,1.30716,76166.6016,1.0,-1.0
1.30735,1.31209,1.30567,1.31057,1093427.625,0.0,2.0
1.31072,1.3171,1.30988,1.31135,1101697.25,2.0,2.0
1.31141,1.32925,1.30826,1.32562,1103995.25,-2.0,-1.0
1.3256299999999999,1.32653,1.31932,1.32073,1098329.75,-2.0,-2.0
1.32081,1.32092,1.30566,1.31104,1051683.5,-1.0,0.0
1.31091,1.31155,1.30954,1.30959,73861.2969,-2.0,-1.0
1.30969,1.3127,1.30342,1.30459,1091724.125,-1.0,2.0
1.3048,1.30731,1.29948,1.30135,696338.8125,-1.0,2.0
1.3014,1.3117,1.29639,1.2998299999999998,1089779.625,-1.0,2.0
1.3,1.30227,1.29253,1.29606,1104451.125,2.0,-2.0
1.29598,1.30664,1.29217,1.30388,1043590.5,0.0,0.0
