Gmt time,Open,High,Low,Close,Volume
01.01.2004 00:00:00.000,1.25950,1.26052,1.24698,1.25733,462181.6875
02.01.2004 00:00:00.000,1.25717,1.26282,1.25214,1.25832,1066578
04.01.2004 00:00:00.000,1.25925,1.26487,1.25789,1.26318,68799.7969
05.01.2004 00:00:00.000,1.26324,1.26935,1.26301,1.26830,1119689
06.01.2004 00:00:00.000,1.26836,1.28093,1.26666,1.27150,1125442.25
07.01.2004 00:00:00.000,1.27161,1.27417,1.26180,1.26377,1111342.75
08.01.2004 00:00:00.000,1.26369,1.27854,1.25590,1.27696,1115932.875
09.01.2004 00:00:00.000,1.27698,1.28676,1.27034,1.28149,1066697.5
11.01.2004 00:00:00.000,1.28279,1.28572,1.28253,1.28477,75674.2031
12.01.2004 00:00:00.000,1.28498,1.28971,1.27327,1.27390,1110720.5
13.01.2004 00:00:00.000,1.27368,1.27957,1.27119,1.27836,1114473.875
14.01.2004 00:00:00.000,1.27850,1.27870,1.26296,1.26514,1122804.625
15.01.2004 00:00:00.000,1.26517,1.26707,1.25614,1.25947,1129349.25
16.01.2004 00:00:00.000,1.25963,1.26091,1.23504,1.23962,1071329.25
18.01.2004 00:00:00.000,1.23838,1.24018,1.23586,1.23832,75484.2969
19.01.2004 00:00:00.000,1.23833,1.24230,1.23337,1.23503,1127427.75
20.01.2004 00:00:00.000,1.23506,1.25997,1.23426,1.25822,1129797.25
21.01.2004 00:00:00.000,1.25808,1.26710,1.25504,1.26539,1128241.25
22.01.2004 00:00:00.000,1.26557,1.27485,1.26366,1.27194,1131004.75
23.01.2004 00:00:00.000,1.27211,1.27742,1.25631,1.25797,1077997.625
25.01.2004 00:00:00.000,1.25809,1.25875,1.25622,1.25680,72543
26.01.2004 00:00:00.000,1.25677,1.26107,1.24562,1.24834,1124182.125
27.01.2004 00:00:00.000,1.24850,1.26618,1.24403,1.26328,1086254.875
28.01.2004 00:00:00.000,1.26353,1.26425,1.24130,1.24355,1135120.75
29.01.2004 00:00:00.000,1.24365,1.25265,1.23617,1.24060,1107884.625
30.01.2004 00:00:00.000,1.24053,1.24911,1.23506,1.24747,1076576.375
01.02.2004 00:00:00.000,1.24751,1.24858,1.24662,1.24731,68361.1016
02.02.2004 00:00:00.000,1.24720,1.24800,1.23897,1.24280,1134724.5
03.02.2004 00:00:00.000,1.24288,1.25973,1.24139,1.25427,1130816.375
04.02.2004 00:00:00.000,1.25408,1.25609,1.24929,1.25364,1132415.375
05.02.2004 00:00:00.000,1.25341,1.26364,1.25177,1.25653,1120426.125
06.02.2004 00:00:00.000,1.25670,1.27243,1.25118,1.27026,1072612
