Gmt time,Open,High,Low,Close,Volume,Open_Bid,High_Bid,Low_Bid,Close_Bid,Volume_Bid,Spread,day_name,weekday,Pct_Range_Close,Pct_Range_Close_diff,MA_Close_5,MA_Close_25,MA_Close_50,MA_Close_200
2004-01-01,1.2595,1.26052,1.24698,1.2573299999999998,462181.6875,1.25934,1.26035,1.24679,1.2572299999999998,559789.625,9.999999999998899e-05,Thursday,3,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-02,1.2571700000000001,1.26282,1.25214,1.25832,1066578.0,1.25701,1.26263,1.2519799999999999,1.25806,1277971.375,0.000260000000000149,Friday,4,0.0007873827873352557,0.0007873827873352557,0.0,0.0,0.0,0.0
2004-01-04,1.25925,1.2648700000000002,1.25789,1.26318,68799.7969,1.25855,1.2647700000000002,1.25779,1.26308,83720.3984,9.999999999998899e-05,Sunday,6,0.0038622925805835706,0.003074909793248315,0.0,0.0,0.0,0.0
2004-01-05,1.26324,1.26935,1.26301,1.2683,1119689.0,1.26308,1.26924,1.26288,1.2682,1353480.5,9.999999999998899e-05,Monday,0,0.004053262401241264,0.00019096982065769375,0.0,0.0,0.0,0.0
2004-01-06,1.26836,1.28093,1.2666600000000001,1.2715,1125442.25,1.2682,1.28083,1.2665,1.2714,1354807.375,9.999999999998899e-05,Tuesday,1,0.0025230623669478813,-0.001530200034293383,1.2637260000000001,0.0,0.0,0.0
2004-01-07,1.2716100000000001,1.27417,1.2618,1.26377,1111342.75,1.27145,1.27404,1.26168,1.26367,1345833.0,9.999999999998899e-05,Wednesday,2,-0.006079433739677564,-0.008602496106625446,1.2650140000000003,0.0,0.0,0.0
2004-01-08,1.26369,1.27854,1.2559,1.27696,1115932.875,1.2635299999999998,1.27839,1.25576,1.27686,1348587.5,9.999999999998899e-05,Thursday,3,0.010437025724617577,0.01651645946429514,1.268742,0.0,0.0,0.0
2004-01-09,1.27698,1.2867600000000001,1.27034,1.28149,1066697.5,1.27682,1.28665,1.27021,1.2812299999999999,1274567.875,0.000260000000000149,Friday,4,0.003547487783485792,-0.006889537941131785,1.272404,0.0,0.0,0.0
2004-01-11,1.2827899999999999,1.28572,1.28253,1.28477,75674.2031,1.28209,1.28559,1.28209,1.28467,87809.5,9.999999999998899e-05,Sunday,6,0.002559520558100381,-0.000987967225385411,1.275698,0.0,0.0,0.0
2004-01-12,1.28498,1.2897100000000001,1.2732700000000001,1.2739,1110720.5,1.28482,1.28956,1.27306,1.2738,1341146.625,9.999999999998899e-05,Monday,0,-0.008460658327949733,-0.011020178886050114,1.2761780000000003,0.0,0.0,0.0
2004-01-13,1.27368,1.27957,1.27119,1.27836,1114473.875,1.27352,1.27947,1.27114,1.27826,1347248.25,9.999999999998899e-05,Tuesday,1,0.003501059737812895,0.011961718065762628,1.2790960000000002,0.0,0.0,0.0
2004-01-14,1.2785,1.2787,1.26296,1.26514,1122804.625,1.27834,1.2785,1.26276,1.26504,1338836.25,9.999999999998899e-05,Wednesday,2,-0.010341374886573385,-0.01384243462438628,1.2767320000000002,0.0,0.0,0.0
2004-01-15,1.2651700000000001,1.2670700000000001,1.25614,1.25947,1129349.25,1.26501,1.26693,1.2556200000000002,1.25937,1359077.625,9.999999999998899e-05,Thursday,3,-0.004481717438386101,0.005859657448187283,1.2723280000000003,0.0,0.0,0.0
2004-01-16,1.25963,1.26091,1.23504,1.2396200000000002,1071329.25,1.25947,1.26071,1.23494,1.23936,1277853.75,0.000260000000000149,Friday,4,-0.01576059771173588,-0.011278880273349778,1.2632980000000003,0.0,0.0,0.0
2004-01-18,1.23838,1.2401799999999998,1.23586,1.23832,75484.2969,1.23768,1.2400200000000001,1.23569,1.23822,93569.5,9.999999999998899e-05,Sunday,6,-0.0010487084751779063,0.014711889236557973,1.2561820000000004,0.0,0.0,0.0
2004-01-19,1.23833,1.2423,1.23337,1.2350299999999999,1127427.75,1.23817,1.2422600000000001,1.2332299999999998,1.2349299999999999,1338577.25,9.999999999998899e-05,Monday,0,-0.0026568253763165073,-0.001608116901138601,1.2475160000000003,0.0,0.0,0.0
