Local time,Open,High,Low,Close,Volume
01.01.2018 16:00:00.000 GMT-0600,1.20143,1.20173,1.20044,1.20110,7920.7502
01.01.2018 18:00:00.000 GMT-0600,1.20109,1.20232,1.20096,1.20159,9784.1499
01.01.2018 20:00:00.000 GMT-0600,1.20157,1.20214,1.20081,1.20122,10964.21
01.01.2018 22:00:00.000 GMT-0600,1.20121,1.20247,1.20117,1.20247,8578.44
02.01.2018 00:00:00.000 GMT-0600,1.20245,1.20384,1.20230,1.20363,18118.8901
02.01.2018 02:00:00.000 GMT-0600,1.20363,1.20708,1.20325,1.20708,20904.6504
02.01.2018 04:00:00.000 GMT-0600,1.20706,1.20813,1.20596,1.20596,23100.899400000002
02.01.2018 06:00:00.000 GMT-0600,1.20594,1.20690,1.20563,1.20577,23688.3906
02.01.2018 08:00:00.000 GMT-0600,1.20575,1.20590,1.20263,1.20446,27590.6602
02.01.2018 10:00:00.000 GMT-0600,1.20454,1.20593,1.20414,1.20449,22512.2197
02.01.2018 12:00:00.000 GMT-0600,1.20442,1.20539,1.20420,1.20536,13597.410100000001
02.01.2018 14:00:00.000 GMT-0600,1.20539,1.20654,1.20520,1.20590,12082.329600000001
02.01.2018 16:00:00.000 GMT-0600,1.20590,1.20664,1.20558,1.20618,6798.959999999999
02.01.2018 18:00:00.000 GMT-0600,1.20619,1.20641,1.20447,1.20533,12672.27
02.01.2018 20:00:00.000 GMT-0600,1.20533,1.20533,1.20420,1.20469,10244.339899999999
02.01.2018 22:00:00.000 GMT-0600,1.20468,1.20595,1.20468,1.20584,7973.3601
03.01.2018 00:00:00.000 GMT-0600,1.20585,1.20608,1.20347,1.20393,17847.9199
03.01.2018 02:00:00.000 GMT-0600,1.20394,1.20436,1.20314,1.20384,20029.7598
03.01.2018 04:00:00.000 GMT-0600,1.20383,1.20408,1.20110,1.20152,24673.680699999997
03.01.2018 06:00:00.000 GMT-0600,1.20151,1.20348,1.20113,1.20330,22838.5703
03.01.2018 08:00:00.000 GMT-0600,1.20330,1.20330,1.20037,1.20238,26394.9306
03.01.2018 10:00:00.000 GMT-0600,1.20236,1.20326,1.20199,1.20273,18975.4903
03.01.2018 12:00:00.000 GMT-0600,1.20273,1.20301,1.20015,1.20165,21409.1797
03.01.2018 14:00:00.000 GMT-0600,1.20166,1.20292,1.20103,1.20146,12925.410100000001
03.01.2018 16:00:00.000 GMT-0600,1.20146,1.20170,1.20069,1.20112,7188.9597
03.01.2018 18:00:00.000 GMT-0600,1.20112,1.20115,1.20046,1.20080,10570.2197
03.01.2018 20:00:00.000 GMT-0600,1.20080,1.20193,1.20078,1.20147,11012.3804
03.01.2018 22:00:00.000 GMT-0600,1.20147,1.20232,1.20146,1.20194,9745.0498
04.01.2018 00:00:00.000 GMT-0600,1.20193,1.20383,1.20174,1.20286,20179.4502
04.01.2018 02:00:00.000 GMT-0600,1.20285,1.20461,1.20217,1.20434,20072.3701
04.01.2018 04:00:00.000 GMT-0600,1.20433,1.20660,1.20416,1.20623,21785.4795
04.01.2018 06:00:00.000 GMT-0600,1.20623,1.20750,1.20556,1.20623,24811.5898
04.01.2018 08:00:00.000 GMT-0600,1.20626,1.20890,1.20603,1.20745,29479.0703
04.01.2018 10:00:00.000 GMT-0600,1.20746,1.20784,1.20611,1.20747,24105.2294
04.01.2018 12:00:00.000 GMT-0600,1.20748,1.20805,1.20611,1.20718,17711.6904
04.01.2018 14:00:00.000 GMT-0600,1.20719,1.20737,1.20653,1.20685,13391.2305
04.01.2018 16:00:00.000 GMT-0600,1.20684,1.20731,1.20651,1.20669,6455.930200000001
04.01.2018 18:00:00.000 GMT-0600,1.20666,1.20798,1.20654,1.20725,12647.660100000001
04.01.2018 20:00:00.000 GMT-0600,1.20724,1.20759,1.20683,1.20748,9386.3001
04.01.2018 22:00:00.000 GMT-0600,1.20747,1.20756,1.20698,1.20719,8642.2399
05.01.2018 00:00:00.000 GMT-0600,1.20716,1.20747,1.20558,1.20575,17782.2798
05.01.2018 02:00:00.000 GMT-0600,1.20576,1.20625,1.20419,1.20460,22079.9795
05.01.2018 04:00:00.000 GMT-0600,1.20460,1.20552,1.20428,1.20529,18866.17
05.01.2018 06:00:00.000 GMT-0600,1.20530,1.20833,1.20447,1.20522,27423.4092
05.01.2018 08:00:00.000 GMT-0600,1.20522,1.20560,1.20209,1.20364,34419.748999999996
05.01.2018 10:00:00.000 GMT-0600,1.20362,1.20490,1.20304,1.20473,19645.9599
05.01.2018 12:00:00.000 GMT-0600,1.20474,1.20510,1.20437,1.20475,12026.04
05.01.2018 14:00:00.000 GMT-0600,1.20474,1.20495,1.20285,1.20314,10382.6103
07.01.2018 16:00:00.000 GMT-0600,1.20297,1.20391,1.20284,1.20373,6094.189899999999
07.01.2018 18:00:00.000 GMT-0600,1.20373,1.20525,1.20333,1.20448,9900.6099
07.01.2018 20:00:00.000 GMT-0600,1.20448,1.20469,1.20273,1.20327,9678.4599
07.01.2018 22:00:00.000 GMT-0600,1.20328,1.20332,1.20123,1.20200,11254.7998
08.01.2018 00:00:00.000 GMT-0600,1.20200,1.20229,1.19930,1.19932,15644
08.01.2018 02:00:00.000 GMT-0600,1.19932,1.20010,1.19836,1.19900,20062.850599999998
08.01.2018 04:00:00.000 GMT-0600,1.19900,1.20095,1.19848,1.19862,19758.5898
08.01.2018 06:00:00.000 GMT-0600,1.19862,1.19909,1.19687,1.19704,23740.8194
08.01.2018 08:00:00.000 GMT-0600,1.19704,1.19793,1.19593,1.19754,26769.8203
08.01.2018 10:00:00.000 GMT-0600,1.19754,1.19823,1.19689,1.19775,21980.96
08.01.2018 12:00:00.000 GMT-0600,1.19775,1.19776,1.19561,1.19630,17283.4204
08.01.2018 14:00:00.000 GMT-0600,1.19626,1.19686,1.19614,1.19679,9882.7603
08.01.2018 16:00:00.000 GMT-0600,1.19680,1.19709,1.19665,1.19703,6991.349899999999
08.01.2018 18:00:00.000 GMT-0600,1.19700,1.19736,1.19582,1.19672,13139.52
08.01.2018 20:00:00.000 GMT-0600,1.19672,1.19757,1.19672,1.19719,13376.7007
08.01.2018 22:00:00.000 GMT-0600,1.19720,1.19724,1.19645,1.19654,9570.98
09.01.2018 00:00:00.000 GMT-0600,1.19653,1.19712,1.19512,1.19514,20863.3901
09.01.2018 02:00:00.000 GMT-0600,1.19514,1.19530,1.19323,1.19390,26574.6201
09.01.2018 04:00:00.000 GMT-0600,1.19389,1.19398,1.19212,1.19285,21303.6397
09.01.2018 06:00:00.000 GMT-0600,1.19284,1.19357,1.19158,1.19211,27534.230499999998
09.01.2018 08:00:00.000 GMT-0600,1.19211,1.19337,1.19174,1.19299,29556.8603
09.01.2018 10:00:00.000 GMT-0600,1.19299,1.19315,1.19181,1.19211,21934.809500000003
09.01.2018 12:00:00.000 GMT-0600,1.19213,1.19360,1.19167,1.19323,14391.75
09.01.2018 14:00:00.000 GMT-0600,1.19322,1.19392,1.19300,1.19372,11882.819800000001
09.01.2018 16:00:00.000 GMT-0600,1.19374,1.19388,1.19280,1.19287,5716.84
09.01.2018 18:00:00.000 GMT-0600,1.19284,1.19453,1.19284,1.19453,15230.2603
09.01.2018 20:00:00.000 GMT-0600,1.19452,1.19497,1.19407,1.19420,11816.4797
09.01.2018 22:00:00.000 GMT-0600,1.19422,1.19430,1.19272,1.19283,10471.1098
10.01.2018 00:00:00.000 GMT-0600,1.19282,1.19452,1.19234,1.19349,23927.29
