Local time,Open,High,Low,Close,Volume
18.03.2018 18:00:00.000 GMT-0600,1.22810,1.23588,1.22582,1.23367,233229.2813
19.03.2018 18:00:00.000 GMT-0600,1.23367,1.23547,1.22401,1.22485,235324.4063
20.03.2018 18:00:00.000 GMT-0600,1.22485,1.23502,1.22469,1.23466,270540.9375
21.03.2018 18:00:00.000 GMT-0600,1.23467,1.23885,1.22857,1.23244,293905.5625
22.03.2018 18:00:00.000 GMT-0600,1.23242,1.23737,1.23170,1.23548,253515.8906
24.03.2018 18:00:00.000 GMT-0600,1.23551,1.23680,1.23531,1.23546,8202.2402
25.03.2018 18:00:00.000 GMT-0600,1.23546,1.24619,1.23520,1.24575,266570.1563
26.03.2018 18:00:00.000 GMT-0600,1.24572,1.24766,1.23725,1.24089,259434.4375
27.03.2018 18:00:00.000 GMT-0600,1.24089,1.24219,1.23003,1.23129,267131.3438
28.03.2018 18:00:00.000 GMT-0600,1.23125,1.23354,1.22841,1.23030,292779.1563
29.03.2018 18:00:00.000 GMT-0600,1.23030,1.23313,1.22913,1.23261,79075.6719
31.03.2018 18:00:00.000 GMT-0600,1.23267,1.23272,1.23129,1.23130,10448.6699
01.04.2018 19:00:00.000 GMT-0500,1.23130,1.23452,1.22823,1.22934,170018.0156
02.04.2018 19:00:00.000 GMT-0500,1.22933,1.23353,1.22540,1.22785,230022.5156
03.04.2018 19:00:00.000 GMT-0500,1.22785,1.23148,1.22572,1.22877,233903.9531
04.04.2018 19:00:00.000 GMT-0500,1.22877,1.22902,1.22185,1.22489,235136.7344
05.04.2018 19:00:00.000 GMT-0500,1.22491,1.22909,1.22154,1.22834,271104.9375
07.04.2018 19:00:00.000 GMT-0500,1.22896,1.22896,1.22659,1.22712,9238.9404
08.04.2018 19:00:00.000 GMT-0500,1.22711,1.23310,1.22605,1.23209,245776.4844
09.04.2018 19:00:00.000 GMT-0500,1.23209,1.23778,1.23030,1.23630,263348.9063
10.04.2018 19:00:00.000 GMT-0500,1.23630,1.23972,1.23473,1.23720,253219.4063
11.04.2018 19:00:00.000 GMT-0500,1.23721,1.23799,1.22995,1.23297,249857.7969
12.04.2018 19:00:00.000 GMT-0500,1.23296,1.23460,1.23072,1.23324,207095.5781
14.04.2018 19:00:00.000 GMT-0500,1.23360,1.23390,1.23256,1.23319,8233.9404
15.04.2018 19:00:00.000 GMT-0500,1.23318,1.23948,1.23244,1.23841,211354.6563
16.04.2018 19:00:00.000 GMT-0500,1.23841,1.24138,1.23365,1.23727,218819.9219
17.04.2018 19:00:00.000 GMT-0500,1.23728,1.23974,1.23420,1.23790,237208.5469
